episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
188,9450,83.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
189,9500,83.8,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
190,9550,84.2,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
191,9600,84.9,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
192,9650,85.3,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
193,9700,85.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
194,9750,86.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
195,9800,86.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
196,9850,86.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
197,9900,87.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
198,9950,87.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
199,10000,88.0,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
200,10050,88.4,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
201,10100,89.3,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
202,10150,89.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
203,10200,90.1,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
204,10250,90.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
205,10300,90.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
206,10350,91.2,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
207,10400,91.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
208,10450,92.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
209,10500,92.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
210,10550,92.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
211,10600,93.2,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
212,10650,93.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
213,10700,93.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
214,10750,94.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
215,10800,94.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
216,10850,95.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
217,10900,95.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
218,10950,96.2,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
219,11000,96.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
220,11050,97.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
221,11100,97.4,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
222,11150,97.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
223,11200,98.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
224,11250,98.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
225,11300,99.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
226,11350,99.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
227,11400,99.8,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
228,11450,100.2,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
229,11500,100.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
230,11550,101.0,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
