number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
163,PRUNED,19.14300000000005,64,0.0002320374495739645,5,500,0.5754454148794577,0.5210783488834205,0.4760448634112297,20.0
164,COMPLETE,4.099999999999998,64,1.3444825041094295e-05,1,2000,0.4945099398780353,0.42588695381283304,0.4118245442601756,30.0
165,PRUNED,10.158000000000005,64,0.0004899030078287722,3,2000,0.5921473753536388,0.31578322908846074,0.37168623058605993,20.0
166,COMPLETE,2.0000000000000013,64,3.315948219869813e-05,5,8000,0.6300835494832955,0.30170428271915145,0.4584060820751545,30.0
167,PRUNED,5.844999999999994,64,4.584054904168251e-05,5,8000,0.5630814085818546,0.33193093031144005,0.5525104567986343,30.0
168,COMPLETE,2.0000000000000013,64,7.924673959378822e-05,5,1000,0.6990705965830171,0.5853283190168179,0.4468161897176856,15.0
169,COMPLETE,2.0000000000000013,64,2.854267449220567e-05,5,8000,0.5929911901682423,0.33258701169884575,0.4512588815475073,20.0
170,COMPLETE,29.50000000000013,32,0.00016675590162242628,3,8000,0.6863974295538852,0.3346669126245486,0.42619058137141885,15.0
171,COMPLETE,2.0000000000000013,32,0.00012655698815770185,3,2000,0.5648368304649558,0.3511713370421533,0.38637074669165583,15.0
172,COMPLETE,18.275000000000013,32,3.0894382845830314e-05,1,2000,0.4968996596534172,0.40278774730163397,0.4524382520664865,30.0
173,PRUNED,5.842999999999994,128,7.194038457565964e-05,5,8000,0.6283170199016526,0.32943392489657863,0.39344164558291433,30.0
174,PRUNED,11.557000000000002,32,5.4210210106166695e-05,1,1000,0.3571734554376264,0.4080557403571219,0.4367291010588152,30.0
175,PRUNED,27.141000000000055,32,0.0001591060260641026,5,2000,0.671940970764506,0.30571383775677,0.37674117971941473,15.0
176,PRUNED,9.028999999999995,32,0.0002353209145729254,5,1000,0.6772008912742072,0.3377678558536229,0.3105529589643518,20.0
177,PRUNED,4.677999999999996,128,3.282262005222644e-05,1,2000,0.5567013317643913,0.41638682440426356,0.46777785589636867,30.0
178,PRUNED,5.062999999999996,32,0.00015017376566753277,3,8000,0.6435797332070333,0.31167274817015606,0.36136361132734485,15.0
179,COMPLETE,132.19999999999737,128,3.551904276323297e-05,1,1000,0.6047954232513175,0.31933864297930303,0.33073140000026846,30.0
180,PRUNED,6.483999999999993,32,2.5830766257006507e-05,3,8000,0.6456455341130228,0.37789182106398805,0.4561918106040135,15.0
181,PRUNED,3.4149999999999965,64,1.140985192548558e-05,1,8000,0.5915423671710527,0.35059286826154595,0.5728814002900807,30.0
182,PRUNED,5.582000000000001,32,6.92139852751426e-05,3,8000,0.5920918628904207,0.33089929496629433,0.49971271092900055,30.0
183,COMPLETE,2.0000000000000013,32,0.0002007411453029203,3,500,0.6442168407671963,0.320655483663922,0.45834219839875256,15.0
184,PRUNED,2.775999999999999,32,1.748214973205899e-05,1,2000,0.5628490722292468,0.324286187114761,0.3841156180351072,30.0
185,PRUNED,0.5520000000000003,32,1.4568231341413677e-05,1,2000,0.5072249802857399,0.30545846943000055,0.4354887821615477,30.0
186,PRUNED,4.2929999999999975,32,5.16121213730318e-05,1,2000,0.5104010859313272,0.4282963755110591,0.44620369376778113,20.0
187,COMPLETE,4.1999999999999975,32,1.6438960836877155e-05,1,2000,0.399866690441288,0.426387294063464,0.4347482597488267,30.0
188,PRUNED,2.189999999999998,32,6.305704770077308e-05,1,2000,0.5190371075915007,0.4352800806287949,0.3623291626187754,30.0
189,COMPLETE,52.7500000000004,128,2.212942895214618e-05,1,500,0.447615831124881,0.38522513352834387,0.3472658566103146,30.0
190,PRUNED,34.868999999999794,32,1.9862662736935945e-05,1,2000,0.5540687768513306,0.43660284041779085,0.473229956572382,30.0
191,PRUNED,-1.6049999999999995,32,0.0001284253212850061,1,8000,0.6715284690991274,0.30981456688656656,0.4323084596707151,15.0
192,PRUNED,6.052999999999993,128,2.6558419593131967e-05,1,1000,0.6518860212914039,0.3471568897857173,0.31647853370370904,30.0
193,PRUNED,7.253999999999992,128,2.3737036531181038e-05,1,1000,0.5784460554128694,0.3113153415376693,0.3914312064773992,30.0
194,PRUNED,4.294999999999997,64,7.524178083368178e-05,1,500,0.6873542917492935,0.35782790241934664,0.4196397161174713,20.0
195,PRUNED,6.035999999999993,32,0.00048193915435281793,3,8000,0.6764102030779618,0.323795927688856,0.4011157540449079,15.0
196,PRUNED,5.800999999999993,32,0.0004743333844921165,3,8000,0.5746291697062522,0.4337679060682639,0.415050254227707,20.0
197,PRUNED,8.150999999999994,32,0.00018856245489538755,3,8000,0.6939624157840724,0.3286100243868303,0.45158556789393617,15.0
