episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
166,8350,72.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
167,8400,73.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
168,8450,73.9,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
169,8500,74.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
170,8550,74.6,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
171,8600,75.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
172,8650,75.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
173,8700,75.7,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
174,8750,76.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
175,8800,76.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
176,8850,76.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
177,8900,77.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
178,8950,77.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
179,9000,78.0,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
180,9050,78.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
181,9100,78.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
182,9150,79.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
183,9200,79.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
184,9250,79.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
185,9300,80.2,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
186,9350,80.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
187,9400,81.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
188,9450,81.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
189,9500,81.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
190,9550,82.1,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
191,9600,82.4,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
192,9650,82.8,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
193,9700,83.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
194,9750,83.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
195,9800,84.2,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
196,9850,84.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
197,9900,85.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
198,9950,85.4,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
199,10000,85.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
200,10050,86.1,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
201,10100,86.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
202,10150,86.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
203,10200,87.2,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
204,10250,87.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
205,10300,88.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
206,10350,88.3,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
207,10400,88.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
208,10450,89.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
209,10500,89.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
210,10550,89.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
211,10600,90.2,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
212,10650,90.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
213,10700,91.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
214,10750,91.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
215,10800,91.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
216,10850,92.1,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
217,10900,92.4,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
218,10950,92.8,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
219,11000,93.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
220,11050,93.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
221,11100,94.2,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
222,11150,94.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
223,11200,95.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
224,11250,95.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
225,11300,95.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
226,11350,96.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
227,11400,96.5,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
228,11450,96.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
229,11500,97.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
230,11550,97.6,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
231,11600,98.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
232,11650,98.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
233,11700,98.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
234,11750,99.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
235,11800,99.5,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
236,11850,99.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
237,11900,100.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
238,11950,100.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
239,12000,101.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
240,12050,101.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
241,12100,101.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
242,12150,102.1,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
243,12200,102.5,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
244,12250,102.8,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
245,12300,103.2,rainbow_cnn_dqn,,3.3,,50,0,,,,,,,,,,,
246,12350,103.6,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
247,12400,104.0,rainbow_cnn_dqn,,0.9,,50,0,,,,,,,,,,,
248,12450,104.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
249,12500,105.0,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
250,12550,105.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
251,12600,105.7,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
252,12650,106.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
253,12700,106.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
254,12750,106.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
255,12800,107.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
256,12850,107.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
257,12900,108.0,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
258,12950,108.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
259,13000,108.7,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
260,13050,109.1,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
261,13100,109.5,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
262,13150,109.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
263,13200,110.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
264,13250,110.6,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
265,13300,111.0,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
266,13350,111.4,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
267,13400,111.8,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
268,13450,112.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
269,13500,112.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
270,13550,112.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
271,13600,113.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
272,13650,113.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
273,13700,114.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
274,13750,114.4,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
275,13800,115.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
276,13850,115.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
277,13900,116.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
278,13950,116.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
279,14000,116.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
280,14050,117.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
281,14100,117.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
282,14150,117.8,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
283,14200,118.2,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
284,14250,118.5,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
285,14300,118.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
286,14350,119.3,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
287,14400,119.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
288,14450,120.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
289,14500,120.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
290,14550,120.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
291,14600,121.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
292,14650,121.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
293,14700,121.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
294,14750,122.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
295,14800,122.6,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
296,14850,123.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
297,14900,123.4,rainbow_cnn_dqn,,-0.3,,50,0,,,,,,,,,,,
298,14950,123.8,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
299,15000,124.1,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
300,15050,124.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
301,15100,124.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
302,15150,125.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
303,15200,125.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
304,15250,126.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
305,15300,126.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
306,15350,127.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
307,15400,127.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
308,15450,127.8,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
309,15500,128.2,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
310,15550,128.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
