number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
59,PRUNED,32.08799999999999,0.3,0.02928171430423193,0.9052514778140662,512,0.00034543025685643605,64,4,4096,0.8328852457754518
60,COMPLETE,43.413777777777774,0.3,0.00946870227191543,0.9272134671621952,512,6.580415916637894e-05,64,4,4096,0.6882463428954952
61,PRUNED,31.999999999999996,0.3,0.005980505143815042,0.9379191975514181,512,3.95327069576609e-05,64,6,4096,0.6829047278002993
62,COMPLETE,49.75844444444442,0.3,0.005060630442848255,0.9098052895113052,512,0.0004441319851353694,64,4,8192,0.5586079467220323
63,COMPLETE,42.02933333333329,0.3,0.009656889869539583,0.9038048634481082,512,0.00010792661712701054,64,3,4096,0.45445939219269016
64,COMPLETE,42.23622222222222,0.3,0.00887301660776338,0.9573838786267954,512,0.00015818930053501052,64,4,4096,0.6252862411388818
65,COMPLETE,32.612666666666655,0.1,0.0059139295815095905,0.9207375269869135,512,0.0001730619348252651,64,4,4096,0.7857425507642941
66,COMPLETE,48.32622222222218,0.3,0.005799277489998976,0.9523931792040573,512,0.0001846642967515161,64,4,4096,0.5541428036943787
67,COMPLETE,58.987555555555446,0.3,0.015290332717910969,0.9035023995088209,512,0.00012893607604304224,64,4,8192,0.49337339780949996
68,COMPLETE,42.54999999999996,0.3,0.012226709921342198,0.9032040994824061,512,0.0001241221892592663,64,4,8192,0.5739657174602713
69,COMPLETE,43.43888888888885,0.3,0.011212802502093389,0.92562946450062,512,9.098881436622797e-05,64,4,4096,0.6424259953549438
70,PRUNED,64.4293333333333,0.2,0.012965823782657763,0.9015922897731466,512,9.394521016837406e-05,64,4,8192,0.5096100104625824
71,COMPLETE,63.33888888888885,0.3,0.010152604422466502,0.9162089035400237,512,0.000203799653626525,64,4,8192,0.6923311717592857
72,COMPLETE,58.37999999999994,0.3,0.010433863187927668,0.9095851363311389,512,0.00020558361850948165,64,4,4096,0.43669973463309353
73,COMPLETE,56.18822222222217,0.3,0.011604088918937966,0.9179527450905787,512,0.00022508136140708408,64,4,8192,0.47435065456754305
74,COMPLETE,37.32888888888889,0.3,0.0074771902489340625,0.9545585848337177,512,0.00011840165818655407,128,4,4096,0.46227639518870334
75,PRUNED,36.08733333333331,0.3,0.005779147572626389,0.9047994161734657,512,0.00010424833555312327,128,10,4096,0.41548195714486363
76,PRUNED,52.18733333333331,0.3,0.013912761426422815,0.9154374557124952,512,6.064641609542899e-05,128,4,8192,0.3315013940967616
77,RUNNING,,0.3,0.012313277940069603,0.9120431979377602,512,0.00022325830626134628,128,4,4096,0.5375737756178641
78,PRUNED,37.11466666666667,0.3,0.019934561546270577,0.9046494017429282,512,0.00029704377935007393,64,4,8192,0.457687663109
79,PRUNED,39.0453333333333,0.3,0.018377333222452406,0.9029544588471907,256,0.00039925511652353843,64,4,8192,0.6879532915694787
80,RUNNING,,0.3,0.031225072562392004,0.9102578673349255,512,0.00016420311872413553,64,4,8192,0.4848279815297236
81,RUNNING,,0.3,0.005795275193364302,0.9049476401754771,512,0.00015799945306445607,256,4,4096,0.5758320124916706
82,RUNNING,,0.3,0.0058513300976115925,0.9043453886698418,512,0.0001119269828470708,256,4,4096,0.6248448889054975
83,RUNNING,,0.3,0.007641905038115604,0.9120415008559356,512,0.0007205432752291586,256,4,8192,0.8957898903042818
84,PRUNED,38.176000000000016,0.3,0.012288653225541879,0.9176984054269894,512,0.00019775244725411093,64,6,8192,0.8974472969819685
85,PRUNED,34.365999999999985,0.3,0.005197053948491754,0.9028126563496981,512,2.3766090903043233e-05,64,4,4096,0.3664400203038366
86,PRUNED,33.19799999999999,0.3,0.013539854177511476,0.9150671673680445,512,0.0006444590411219641,64,4,8192,0.9597450807588104
87,RUNNING,,0.3,0.007951276000102007,0.932787305141877,512,0.0002807207694757907,256,4,8192,0.5919192651567515
88,PRUNED,40.66199999999997,0.3,0.007671865245106371,0.9229545123358415,512,0.00018848453244500832,64,6,8192,0.7408953814262291
89,RUNNING,,0.1,0.012188657583249673,0.9107993117089856,512,0.0006006354809244972,64,4,4096,0.49065262089431205
90,RUNNING,,0.3,0.006644230440155908,0.9125416538491181,512,6.46354055868038e-05,64,4,4096,0.32251153093021345
91,RUNNING,,0.3,0.011589058887948584,0.9230742726696866,512,0.00026087670578371674,64,4,4096,0.3307326121215973
92,RUNNING,,0.3,0.01122240694354323,0.9168204383632581,512,0.0006090123474478307,64,4,4096,0.3535142051445374
93,RUNNING,,0.3,0.020855927204609017,0.9114912504558687,512,6.0706049471741764e-05,64,10,8192,0.3530582719413792
94,RUNNING,,0.3,0.0076895737052133225,0.9093406646120654,512,0.0003256275432202877,64,4,4096,0.4490102004751686
