number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
52,PRUNED,3.9189999999999987,32,256,0.00016596927456964124,1,1000,0.6954047349124889,0.37699814334331144,0.36087951038895655
53,COMPLETE,9.799999999999983,64,256,8.923475015952257e-05,5,8000,0.6727413650634045,0.3662231547795947,0.3187338643559672
54,COMPLETE,18.575000000000017,64,256,0.0002640305648405181,5,500,0.6968286101156039,0.32822661480471227,0.30484359753566026
55,COMPLETE,52.7750000000004,64,256,0.00034667380248571084,3,500,0.624816701384771,0.34900220319890746,0.39498449714223244
56,PRUNED,43.51999999999975,64,256,2.8692221771391557e-05,5,1000,0.5420753358438535,0.3028582330813886,0.40711738957820337
57,PRUNED,134.6910000000029,128,256,0.0001261237823068419,5,2000,0.5848336897290358,0.31822649280219995,0.37243378060926924
58,PRUNED,17.852000000000036,64,256,9.608582535612599e-05,5,2000,0.6681055013044873,0.38367695910715127,0.31083038253199863
59,PRUNED,97.30699999999973,64,256,0.00014853833194012635,5,8000,0.6288627091868034,0.3185060799468903,0.30117967125068146
60,PRUNED,5.903999999999993,128,256,4.6229538015863266e-05,5,1000,0.673841110997423,0.3165440353075938,0.34618127538754145
61,PRUNED,186.6780000000055,128,256,0.0006957835305810252,3,2000,0.42247991580510263,0.48726212683603154,0.6012145060456351
62,COMPLETE,23.52500000000007,128,256,6.820041188526194e-05,5,1000,0.6245960438835347,0.33997945556591874,0.346872913415979
63,PRUNED,4.125999999999998,128,512,0.0004081206032618523,1,500,0.34683042206352444,0.5165111343651116,0.5737935953156681
64,PRUNED,19.970000000000056,64,512,5.654241913903556e-05,5,1000,0.6882308860506019,0.35219141877838733,0.35339662237470565
65,COMPLETE,4.999999999999995,64,512,2.2970944751358598e-05,5,1000,0.6889439001781418,0.37009476829466076,0.3259337024399048
66,PRUNED,42.97599999999969,32,512,0.0008446088966193613,5,8000,0.33006564314345543,0.5358621147183446,0.6917093308692769
67,PRUNED,4.083999999999998,128,256,0.0007666317326015869,1,8000,0.3183468040268912,0.5202340469657449,0.6682137651083313
68,PRUNED,108.11500000000035,64,256,4.382854057795055e-05,3,1000,0.5772337956683534,0.35403954077282973,0.36616636322440593
69,PRUNED,287.0250000000041,32,512,0.00016135488279942053,3,8000,0.36298628160125374,0.5640232710344565,0.5432298639532953
70,PRUNED,4.986999999999996,32,256,0.00014765664950220378,3,2000,0.5839519663336994,0.5647712461901411,0.6051033547399199
