number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
167,PRUNED,42.92499999999987,0.3,0.03424517210297909,0.9850675126483232,256,0.0003255421043002241,256,3,8192,0.8392449754160987
168,PRUNED,19.221000000000046,0.3,0.008269637912927985,0.9163816844098152,512,2.750743739889832e-05,128,4,4096,0.6816666307070683
169,COMPLETE,210.92499999999387,0.3,0.0485399968950042,0.971005732301402,256,9.962161561355014e-05,256,3,8192,0.7411100820872242
170,COMPLETE,22.40000000000006,0.3,0.025559618021745653,0.9664652561688124,512,0.00018010389103322827,256,3,4096,0.9320850544258708
171,COMPLETE,12.899999999999974,0.1,0.013503587087249103,0.971935095321258,512,0.00028733592523805636,128,4,4096,0.7304222980050948
172,COMPLETE,1769.4999999995953,0.1,0.01513546348816664,0.9581592637911547,512,0.00020338613967543344,256,4,4096,0.7205156007003908
173,COMPLETE,58.55000000000036,0.1,0.0074422269249547765,0.9121219437212162,256,4.9531448183561434e-05,128,6,4096,0.42479933785028534
174,COMPLETE,13.624999999999972,0.1,0.008227822081906675,0.9059198301561701,256,6.961416864339996e-05,64,6,4096,0.4278765013951902
175,PRUNED,52.88799999999975,0.3,0.04020375719504971,0.9587352601157676,512,0.0002779826373660039,256,4,4096,0.43094014568551
176,COMPLETE,2.0000000000000013,0.1,0.0051814397703859715,0.9344500381157789,512,8.210923095737708e-05,128,6,4096,0.5758000459922163
177,PRUNED,61.12099999999966,0.3,0.008844197124601333,0.9676331003569802,512,5.316762230672311e-05,64,4,4096,0.7962634658208477
178,COMPLETE,10.99999999999998,0.1,0.007507206823825866,0.9180987884070311,256,6.692065644792833e-05,128,6,4096,0.6427241868454686
179,PRUNED,7.9149999999999885,0.1,0.007470410521180897,0.9424414919623572,512,8.129516286973801e-05,128,10,4096,0.9749144889307704
180,PRUNED,31.984999999999953,0.1,0.037207230210201184,0.9626258853457522,512,0.00016929602149175387,256,4,8192,0.4882987335277237
181,PRUNED,45.050999999999604,0.1,0.005433350802502301,0.9391335848224797,256,7.731209926116178e-05,128,3,4096,0.6810044975758831
182,PRUNED,73.81200000000007,0.3,0.0050273316069403195,0.9119372699975824,256,4.929376317402521e-05,128,4,8192,0.784750274314612
183,PRUNED,26.908000000000005,0.1,0.04366586317431591,0.9811914353558171,512,0.0001890989490530079,256,4,4096,0.30816066739075465
184,COMPLETE,6.224999999999994,0.1,0.01589934812079645,0.9177973351909219,256,0.00023629321152884432,64,10,4096,0.990908665698723
185,PRUNED,5.750999999999993,0.2,0.013896040137374516,0.9416079715963137,512,0.00011066970573848151,64,10,4096,0.9632426152319473
186,PRUNED,83.23999999999954,0.2,0.015666041136086224,0.9208059322777862,256,0.0001073433891170246,256,10,4096,0.9503199021915356
187,PRUNED,5.749999999999995,0.3,0.04940110605417377,0.9421981720535346,256,0.00011391566962885041,256,3,8192,0.8158798456042299
188,PRUNED,43.08099999999985,0.2,0.03050218344755214,0.9144115655002167,256,7.245805930513478e-05,64,10,4096,0.9467255414213949
189,COMPLETE,99.19999999999888,0.3,0.020165199309904482,0.9321814428171582,256,9.706779325769439e-05,256,3,4096,0.7558351982130478
190,COMPLETE,70.87500000000014,0.3,0.04717650379505568,0.9188825687605845,256,0.00011232388472078506,256,4,4096,0.9478975123241972
