episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
180,44419,367.9,ppo_cnn,1-3,44.8667,673.0,84,2.0,747,707,2,False,pit,False,284,0,0,1,4
181,44467,368.3,ppo_cnn,3-1,19.2,287.0,48,1.0,354,314,1,False,enemy,False,390,0,0,1,1
182,44526,368.8,ppo_cnn,2-1,17.0,254.0,59,1.0,322,283,1,False,enemy,False,387,0,0,1,1
183,44665,369.9,ppo_cnn,3-1,45.8,686.0,139,2.0,768,728,2,False,pit,False,371,0,500,1,1
184,44709,370.2,ppo_cnn,1-3,23.0,345.0,44,1.0,412,372,1,False,pit,False,291,0,0,1,4
185,45250,375.6,ppo_cnn,1-1,46.6,702.0,541,3.0,862,822,3,False,enemy,False,291,1,200,1,1
186,45419,377.0,ppo_cnn,2-1,30.2,453.0,169,1.0,531,491,1,False,enemy,False,367,0,1000,1,1
187,45464,377.3,ppo_cnn,1-3,16.4667,247.0,45,1.0,314,282,1,False,pit,False,291,0,0,1,4
188,45548,378.0,ppo_cnn,4-1,24.2667,364.0,84,1.0,436,396,1,False,enemy,False,384,0,0,1,1
189,45698,379.1,ppo_cnn,1-1,43.0667,645.0,150,2.0,723,683,2,False,enemy,False,369,1,300,1,1
190,46489,385.2,ppo_cnn,1-1,46.3333,694.0,791,3.0,898,858,3,False,enemy,False,241,1,500,1,1
191,47086,389.7,ppo_cnn,1-1,63.5333,953.0,597,4.0,1124,1084,4,False,pit,False,281,0,300,1,1
192,47170,390.4,ppo_cnn,1-3,34.6667,520.0,84,2.0,593,553,2,False,pit,False,284,0,0,1,4
193,47202,390.6,ppo_cnn,1-1,16.4,245.0,32,1.0,309,269,1,False,enemy,False,393,0,0,1,1
194,47614,393.8,ppo_cnn,1-1,50.8667,762.0,412,3.0,899,859,3,False,enemy,False,317,0,100,1,1
195,47658,394.2,ppo_cnn,1-3,21.3333,319.0,44,1.0,386,346,1,False,pit,False,290,0,0,1,4
196,47698,394.5,ppo_cnn,1-3,16.6,249.0,40,1.0,315,275,1,False,pit,False,292,0,0,1,4
197,47776,395.1,ppo_cnn,4-1,30.9333,463.0,78,1.0,535,495,1,False,pit,False,384,0,0,1,1
198,47816,395.4,ppo_cnn,1-3,14.6,219.0,40,0.0,284,244,0,False,pit,False,292,0,0,1,4
199,48036,397.1,ppo_cnn,4-1,103.2,1563.0,220,6.0,1634,1594,6,False,enemy,False,356,4,800,1,1
200,48114,397.7,ppo_cnn,4-1,25.6,384.0,78,1.0,457,419,1,False,enemy,False,385,0,0,1,1
201,48163,398.1,ppo_cnn,2-1,17.2,257.0,49,1.0,323,283,1,False,enemy,False,389,0,0,1,1
202,48211,398.5,ppo_cnn,3-1,22.1333,332.0,48,1.0,400,360,1,False,enemy,False,390,0,0,1,1
203,48250,398.8,ppo_cnn,1-1,16.6,252.0,39,1.0,310,275,1,False,enemy,False,392,1,200,1,1
204,48336,399.5,ppo_cnn,2-1,24.4667,366.0,86,1.0,441,401,1,False,enemy,False,382,0,100,1,1
205,48524,401.0,ppo_cnn,2-1,29.3333,440.0,188,1.0,531,491,1,False,enemy,False,362,0,200,1,1
206,48558,401.2,ppo_cnn,5-1,6.0,90.0,34,0.0,154,114,0,False,enemy,False,293,0,0,1,1
207,48757,402.8,ppo_cnn,2-1,54.3333,814.0,199,3.0,900,860,3,False,enemy,False,359,1,700,1,1
208,48785,403.1,ppo_cnn,5-1,7.2,108.0,28,0.0,170,131,0,False,enemy,False,295,0,0,1,1
209,48825,403.4,ppo_cnn,1-3,15.0,225.0,40,0.0,289,249,0,False,pit,False,292,0,0,1,4
210,48958,404.4,ppo_cnn,4-1,20.6667,310.0,133,1.0,394,354,1,False,enemy,False,373,0,0,1,1
211,48999,404.7,ppo_cnn,1-3,14.5333,218.0,41,0.0,282,242,0,False,pit,False,292,0,0,1,4
212,49065,405.2,ppo_cnn,3-1,18.8,281.0,66,1.0,340,300,1,False,enemy,False,386,1,600,1,1
213,49208,407.6,ppo_cnn,2-1,48.9333,734.0,143,3.0,816,776,3,False,enemy,False,371,0,400,1,1
214,49453,409.5,ppo_cnn,1-1,50.1333,752.0,245,3.0,856,819,3,False,enemy,False,351,0,200,1,1
215,49497,409.8,ppo_cnn,1-3,14.7333,221.0,44,0.0,285,245,0,False,pit,False,292,0,0,1,4
216,49663,411.1,ppo_cnn,1-1,42.7333,641.0,166,2.0,722,682,2,False,enemy,False,367,1,200,1,1
217,49742,411.7,ppo_cnn,3-1,16.6,248.0,79,1.0,322,286,1,False,enemy,False,383,0,0,1,1
218,49765,411.9,ppo_cnn,5-1,8.0,120.0,23,0.0,183,143,0,False,enemy,False,295,0,0,1,1
219,49838,412.5,ppo_cnn,4-1,27.0667,406.0,73,1.0,479,441,1,False,enemy,False,385,0,0,1,1
220,49878,412.8,ppo_cnn,3-1,19.4,291.0,40,1.0,357,320,1,False,enemy,False,392,0,0,1,1
221,49979,413.6,ppo_cnn,4-1,20.1333,301.0,101,1.0,378,338,1,False,enemy,False,379,0,0,1,1
222,50046,414.1,ppo_cnn,2-1,24.9333,373.0,67,1.0,443,403,1,False,enemy,False,386,0,100,1,1
223,50073,414.4,ppo_cnn,5-1,7.5333,113.0,27,0.0,174,134,0,False,enemy,False,295,0,0,1,1
224,50136,414.9,ppo_cnn,1-3,35.4667,535.0,63,2.0,597,557,2,False,pit,False,287,1,200,1,4
225,50185,415.2,ppo_cnn,2-1,18.2667,274.0,49,1.0,339,299,1,False,enemy,False,390,0,0,1,1
226,50244,415.7,ppo_cnn,1-3,22.5333,337.0,59,1.0,406,366,1,False,pit,False,288,0,0,1,4
227,50282,416.0,ppo_cnn,1-1,16.2,247.0,38,1.0,305,265,1,False,enemy,False,393,1,200,1,1
228,50330,416.3,ppo_cnn,2-1,17.4,261.0,48,1.0,326,286,1,False,enemy,False,391,0,0,1,1
